Linea,Grupo,Tipo,Codigo,DETALLE,CostoTxt
Sin Linea,Productos  Esp., ,011207CA,Etiqueta autoadhesiva Practi Kit -caja x 5000-,0
Sin Linea,Productos  Esp., ,011207CB,Dipticos Practi-Kit-caja x 1000-,0
Sin Linea,Productos  Esp., ,011207CC,Etiquetas autoadhesivas Linea Industria,0
Sin Linea,Productos  Esp., ,011207CD,Dipticos Kanete Caja por 250,0
Sin Linea,Productos  Esp., ,011207CE,Diptico Rustic,0
Sin Linea,Productos  Esp., ,011207CF,Sobre Cedro,0
Sin Linea,Productos  Esp., ,011207CG,Diptico Covering,0
Sin Linea,Productos  Esp., ,011207CH,Panfletos Covering,0
Sin Linea,Productos  Esp., ,011208,PARASOLES,0
Sin Linea,Productos  Esp., ,011209,HELADERITAS,0
Sin Linea,Productos  Esp., ,011210,REMERAS,0
Sin Linea,Productos  Esp., ,011211,BOLSO MARINERO,0
Sin Linea,Productos  Esp., ,011212,CD SINTESIS,0
Sin Linea,Productos  Esp., ,011213,GEL PACK,0
Sin Linea,Productos  Esp., ,011214,ANOTAD.ALUM CCN ISOLANT Y ISSA,0
Sin Linea,Productos  Esp., ,011214A,ORGANIZADORES,0
Sin Linea,Productos  Esp., ,011214B,Calendario Ice Lady Patagonia-caja x 90-,0
Sin Linea,Productos  Esp., ,011214BA,Calendario Isolant 2009 Caja x 125,0
Sin Linea,Productos  Esp., ,011214C,Organizador multicapa Caja x 20,0
Sin Linea,Productos  Esp., ,011214D,Anotadores multicapa caja x 85,0
Sin Linea,Productos  Esp., ,011214E,Organizador CEDRO,0
Sin Linea,Productos  Esp., ,011214F,Anotador Cedro,0
Sin Linea,Productos  Esp., ,011214G,Anotador Covering,0
Sin Linea,Productos  Esp., ,011215,ISONOTAS,0
Sin Linea,Productos  Esp., ,011216,CAJITAS P/ANTEOJOS,0
Sin Linea,Productos  Esp., ,011216A,ANTEOJOS,0
Sin Linea,Productos  Esp., ,011217,LAPICERAS,0
Sin Linea,Productos  Esp., ,011217B,METROS ISOLANT -PAQ.X 100-,0
Sin Linea,Productos  Esp., ,011218,TIRO AL BLANCO,0
Sin Linea,Productos  Esp., ,011218A,CANUTERO,0
Sin Linea,Productos  Esp., ,011219,CALCOMANIA BOLSA TERMICA,0
Sin Linea,Productos  Esp., ,011219A,CALCOMANIA SORPRESA ISOLANT,0
Sin Linea,Productos  Esp., ,011219B,"FOLLETO ""TE GUSTAN LOS REGALOS""?",0
Sin Linea,Productos  Esp., ,011219C,FOLLETO ISO CCN SALADILLO,0
Sin Linea,Productos  Esp., ,011219D,Folleto Isolant/Cerro Negro-caja x 600-,0
Sin Linea,Productos  Esp., ,011219E,Folletos Bajo Piso Radiante caja x 1500,0
Sin Linea,Productos  Esp., ,011220,MANUAL DE COLOCACION ISOLANT,0
Sin Linea,Productos  Esp., ,011221,Catalogo Linea Pisos x 200,0
Sin Linea,Productos  Esp., ,011221A,Folleto Bajo Piso Flotante x 2000,0
Sin Linea,Productos  Esp., ,011221B,Catalogo Linea Pisos ACOUSTIC x 200,0
Sin Linea,Productos  Esp., ,011222,Folleto Tubos x 1500,0
Sin Linea,Productos  Esp., ,011222A,Folleto Tubos x 2000,0
Sin Linea,Productos  Esp., ,011223,Folleto Base p/alfombras x 750,0
Sin Linea,Productos  Esp., ,011223A,Folleto Base p/alfombras x 2000,0
Sin Linea,Productos  Esp., ,011224,"Volante ""Burbujas""-caja x 1900-",0
Sin Linea,Productos  Esp., ,011225,REIDY,0
Sin Linea,Productos  Esp., ,01147A,CAJA para cinta C.T.B.A,1.02
Sin Linea,SIN GRUPO, ,041601,Pedro Klockner- Otras deudas,0
Sin Linea,Scrap, ,01340,MOLIENDA BLANCO,0
Sin Linea,Scrap, ,01340A,MOLIENDA BLANCA PELLETIZADA,0
Sin Linea,Scrap, ,01341,MOLIENDA TUTI,0
Sin Linea,Scrap, ,01341A,MOLIENDA TUTI PELLETIZADA,0
Sin Linea,Productos  Esp., ,01409A,Polipropileno Aluminizado,0
Sin Linea,SIN GRUPO, ,01417,CAJAS CON FOLLETOS COMERCIALES,0
Sin Linea,Productos  Esp., ,01437A,FOIL ALUMINIO 40MIC.,0
Sin Linea,Productos  Esp., ,01441A,AISLACION TERMICA PARA TANQUES,0
Sin Linea,Espumas de Polietileno,Espuma 0.5 mm,01500A,Espuma-0.5mm-Blanco-300mx1m,0.91
Sin Linea,SIN GRUPO, ,04500A,DEVOLUCION DE LAMINAS (0.5MM A 5MM),0
Sin Linea,Espumas de Polietileno,Espuma 0.5 mm,01500AC,Espuma-0.5mm-Blanco-300mx1m,0.99
Sin Linea,Espumas de Polietileno,Espuma 0.5 mm,01500AIN,Espuma-0.5mm-Blanco-500mx1m-MP0001,1.24
Sin Linea,Espumas de Polietileno,Espuma 0.5 mm,01500ASA,Espuma-0.5mm-Blanco-200mx1m,0.94
Sin Linea,Espumas de Polietileno,Espuma 0.5 mm,01500B,Espuma-0.5mm-Blanco-300mx1.2m,0.96
Sin Linea,SIN GRUPO, ,04500B,DEVOLUCION DE LAMINAS C/FILM Y ALUM.,0
Sin Linea,Espumas de Polietileno,Espuma 0.5 mm,01500BC,Espuma-0.5mm-Blanco-300mx1.2m,0.42
Sin Linea,Espumas de Polietileno,Espuma 0.5 mm,01500BIN,Espuma-0.5mm-Blancox 500m x 1.20m-MP0002,0.79
Sin Linea,Espumas de Polietileno,Espuma 0.5 mm,01500C,Espuma-0.5mm-Blanco-300mx1.5m,0.85
Sin Linea,Espumas de Polietileno,Espuma 0.5 mm,01500CC,Espuma-0.5mm-Blanco-300mx1.5m,0.94
Sin Linea,Espumas de Polietileno,Espuma 0.5 mm,01500CIN,Espuma-0.5mm-Blanco x 500m x 1.50m-MP0003,0.79
Sin Linea,Espumas de Polietileno,Espuma 0.5 mm,01500D,Espuma-0.5mm-Blanco,1.15
Sin Linea,Espumas de Polietileno, ,01500E,Blanco [Ancho 2 m]  [Esp. 0.5 mm]  ,0
Sin Linea,Espuma con Film,Espuma 0.5 mm,01501A,Espuma-0.5mm-Blanco-C/Film,3.42
Sin Linea,Espuma con Film, ,01501AZ,Espuma-0.5mm-Blanco-C/Film-NO CONFORME,0
Sin Linea,Espuma con Film,Espuma 0.5 mm,01501B,Espuma-0.5mm-Blanco-C/Film Cli.,0.41
Sin Linea,Espuma con Film,Espuma 0.5 mm,01501BB,Espuma-0.5mm-Blanco-C/Doble Film Cli.,120.39
Sin Linea,Espuma con Film,Espuma 0.5 mm,01501C,Espuma-0.5mm-Blanco-Aluminizado,0
Sin Linea,Espuma con Film,Espuma 0.5 mm,01501I,Espuma-0.5mm-Blanco-C/Film Indupoles Cristal,1.83
Sin Linea,Espuma con Film,Espuma 0.5 mm,01501IA,Espuma-0.5mm-Blanco-C/Film Indupoles Cristal-500mx1m-MP0051,0.24
Sin Linea,Espuma con Film,Espuma 0.5 mm,01501IAA,Espuma-0.5mm-Blanco-C/Film Indupoles Cristal-500mx 0.90m-MP0207,3.1
Sin Linea,Espuma con Film,Espuma 0.5 mm,01501IB,Espuma-0.5mm-Blanco-C/Film Indupoles Cristal-500mx1.20m-MP0052,0.34
Sin Linea,Espuma con Film,Espuma 0.5 mm,01501IBA,Espuma-0.5mm-Blanco-C/Film Indupoles Cristal-500mx 0.60m + 0.60 m-MP0203,1.18
Sin Linea,Espuma con Film,Espuma 0.5 mm,01501IC,Espuma-0.5mm-Blanco-C/Film Indupoles Cristal-500mx1.50m-MP0053,0.58
Sin Linea,Espuma con Film,Espuma 0.5 mm,01501ID,Espuma-0.5mm-Blanco-C/Film Advertencia Negro-MP0056,1.42
Sin Linea,Espuma con Film,Espuma 0.5 mm,01501IE,Espuma-0.5mm-Blanco-C/Film Advertencia Negro-500mx1m-MP0054,1.06
Sin Linea,Espuma con Film,Espuma 0.5 mm,01501IF,Espuma-0.5mm-Blanco-C/Film Advertencia Negro-500mx1.20m-MP0055,0.56
Sin Linea,Espuma con Film,Espuma 0.5 mm,01501IG,Espuma-0.5mm-Blanco-C/Film Advertencia Negro-500mx1.50m-MP0076,0.43
Sin Linea,Espuma con Film,Espuma 0.5 mm,01501IH,Espuma-0.5mm-Blanco-C/Film AD ROJO-DI0011-56X000048,0.31
Sin Linea,Espuma con Film,Espuma 0.5 mm,01501II,Espuma-0.5mm-Blanco-C/Film AD Rojo DI0010-56X000047-500mx1.20m-MP0130,1.74
Sin Linea,Espuma con Film,Espuma 0.5 mm,01501IJ,Espuma-0.5mm-Blanco-C/Film AD Negro DI0009-56X000053-500mx1.20m-MP0129,1.24
Sin Linea,Espuma con Film,Espuma 0.5 mm,01501IJA,Espuma-0.5mm-Blanco-C/Film AD Negro DI0009-56X000053-500mx 0.60m+0.60m-MP0205,2.71
Sin Linea,Espuma con Film,Espuma 0.5 mm,01501IJB,Espuma-0.5mm-Blanco-C/Film AD Negro DI0009-56X000053-500mx 3 x 0.40 m-MP0206,2.65
Sin Linea,Espuma con Film,Espuma 0.5 mm,01501IJC,Espuma-0.5mm-Blanco-C/Film AD Negro DI0009-56X000053-500mx1.10m-MP0212,2.72
Sin Linea,Espuma con Film,Espuma 0.5 mm,01501IJD,Espuma-0.5mm-Blanco-C/Film AD Negro DI0009-56X000053-500mx 0.50m+0.50m-MP0211,3.12
Sin Linea,Espuma con Film,Espuma 0.5 mm,01501IK,Espuma-0.5mm-Blanco-C/Film AD ROJO-DI00008-56X000045-500mx1.50m-MP00128,0.95
Sin Linea,Espuma con Film,Espuma 0.5 mm,01501IL,Espuma-0.5mm-Blanco-C/Film AD Negro DI0007-56X000044-500mx1.20m-MP0127,0.43
Sin Linea,Espuma con Film,Espuma 0.5 mm,01501IM,Espuma-0.5mm-Blanco-C/Film Impreso Gris-DI0012-500mx1m-MP0138,0.17
