Linea,Grupo,Tipo,Codigo,DETALLE,Costo	
Sin Linea,Membranas para Techos,Breves 10mm Aluminiz.,01525O,Ormi-Membrana-10mm-Blanco-Aluminizado,195,662791478299	
Sin Linea,Membranas para Techos,Breves 10mm Aluminiz.,01525OC,Espuma-10mm-Blanco-Aluminizado - Const,196,354790990605	
Sin Linea,Espuma con Film,1) TBA10,01525R,Espuma-10mm-Blanco-Alu,154,791203969279	
Sin Linea,Espumas de Polietileno, ,01526A,Blanco [Ancho 1 m]  [Esp. 15 mm]  Ig. ,1,86	
Sin Linea,Espumas de Polietileno, ,01526AA,Amarillo [Ancho 1 m]  [Esp. 15 mm]  Ig. ,3,05	
Sin Linea,Espumas de Polietileno, ,01526AG,Gris [Ancho 1 m]  [Esp. 15 mm]  ,	
Sin Linea,Espumas de Polietileno,Espuma 15 mm,01526D,Espuma-15mm-Blanco,	
Sin Linea,Espumas de Polietileno,Espuma 15 mm,01526DB,Espuma-15mm-Amarillo,	
Sin Linea,Membranas para Techos,8) TB2,01550A,Membrana TB2 (x20m),74,16227667858	
Sin Linea,SIN GRUPO, ,04550A,DEVOLUCION MEMBRANAS BAJO TEJA,	
Sin Linea,Membranas para Techos,8) TB2,01550AA,Esp-2mm-Bco-C/Film Bjo Teja-Const-20mx1m,0	
Sin Linea,Membranas para Techos, ,01550AF,Membrana TB2 x 20m (Fuera de norma),0,0643883900288611	
Sin Linea,Membranas para Techos,8) TB2,01550AZ,Membrana TB2 NO CONFORME,0	
Sin Linea,Membranas para Techos,8) TB2 PROMOCION,01550B,Membrana TB2 PROMOCION,0	
Sin Linea,Membranas para Techos,Imperespuma 2mm,01550I,Rufi 2mm-20mx1m,74,2985593391499	
Sin Linea,Membranas para Techos,Imperespuma 2mm,01550IC,Espuma-2mm-R-Const-20mx1m,52,3463731664342	
Sin Linea,Membranas para Techos,Breves 2mm espuma,01550O,Ormi-Membrana-2mm-20mx1m,63,6962230679582	
Sin Linea,Membranas para Techos,8) TB2,01550R,Membrana 2mm-20mx1m,57,1274488965297	
Sin Linea,Membranas para Techos,9) TB5,01551A,Membrana TB5 (x20m),102,600666963002	
Sin Linea,Membranas para Techos,9) TB5,01551AA,Esp-5mm-Bco-C/Film Bjo Teja-Const-20mx1m,1,35	
Sin Linea,Membranas para Techos, ,01551AF,Membrana TB5 x 20m (Fuera de norma),2,95438258506204	
Sin Linea,Membranas para Techos,9) TB5,01551AZ,Membrana TB5 NO CONFORME,0	
Sin Linea,Membranas para Techos,9) TB5 PROMOCION,01551B,Membrana TB5 PROMOCION,0	
Sin Linea,Membranas para Techos,Imperespuma 5mm,01551I,Rufi 5mm-20mx1m,95,3384892995745	
Sin Linea,Membranas para Techos,1) TBA5,01551IA,Membrana Imperespuma 5mm Aluminizada,194,819392210629	
Sin Linea,Membranas para Techos,Imperespuma 5mm,01551IC,Espuma-5mm-R-Const-20mx1m,74,52997209196	
Sin Linea,Membranas para Techos,Breves 5mm Espuma,01551O,Ormi-Membrana-5mm-20mx1m,25,0249394641832	
Sin Linea,Membranas para Techos,Breves 5mm Espuma,01551OC,Membrana 5mm-Const-20mx1m,73,0538936825261	
Sin Linea,Membranas para Techos,9) TB5,01551R,Membrana 5mm-20mx1m,82,4388790639432	
Sin Linea,Membranas para Techos,TB10,01552A,Membrana TB10 (x20m),176,256194812799	
Sin Linea,Membranas para Techos,TB10,01552AA,Esp-10mm-Bco-C/Film Bjo Teja-Const-20mx1m,0	
Sin Linea,Membranas para Techos, ,01552AF,Membrana TB10 x 20m (Fuera de norma),0	
Sin Linea,Membranas para Techos,TB10,01552AZ,Membrana TB10 2da SELECCION,0	
Sin Linea,Membranas para Techos,TB10,01552B,Membrana TB10 PROMOCION,0	
Sin Linea,Membranas para Techos,Breves 10mm espuma,01552O,Ormi-Membrana-10mm-20mx1m,0	
Sin Linea,Membranas para Techos,Breves 10mm espuma,01552R,Membrana 10mm-20mx1m,39,7690388476857	
Sin Linea,Membranas para Techos,Breves 10mm espuma,01552RC,Membrana 10mm-Const-20mx1m,119,063080589329	
Sin Linea,Membranas para Techos,TBA2,01553A,Membrana TBA2,	
Sin Linea,Membranas para Techos,TBA3,01553B,Membrana TBA3,	
Sin Linea,Membranas para Techos,1) TBA5,01554A,Membrana TBA5,	
Sin Linea,Membranas para Techos,2) DOBLE ALU 5,01554B,-NO USAR-Membrana Doble Alu 5mm (x20m),	
Sin Linea,Membranas para Techos,2) DOBLE ALU 5,01554BA,Membrana Doble Alu 5mm PROMOCION,0	
Sin Linea,Membranas para Techos,2) DOBLE ALU 5,01554BB,Membrana Doble Alu Blanco 5mm C/Doble Solape (xm²),7,23	
Sin Linea,Membranas para Techos, ,01554BBZ,Blanco [Ancho 1.05 m]  [Esp. 5 mm]  Doble Alum-Bco NO CONFORME ,	
Sin Linea,Membranas para Techos,2) DOBLE ALU 5,01554BC,Mem. Doble Alu 5mm C/Rebaje de Alum. (x20m),269,950060054893	
Sin Linea,Membranas para Techos, ,01554BCF,Membrana Doble Alu 5mm x 20m (Fuera de norma),11,1851388972838	
Sin Linea,Membranas para Techos, ,01554BCZ,DOBLE ALU5 C/SOLAPE NO CONFORME,0	
Sin Linea,Membranas para Techos,2) DOBLE ALU 5,01554BF,Membrana Doble Alu Cara Superior Blanca 5mm  (xm²),7,23	
Sin Linea,Membranas para Techos,5) CEDRO,01554BP,CEDRO Aislante Decorativo Simil Madera (x20m)- PROMOCION,0	
Sin Linea,Membranas para Techos,5) CEDRO,01554BR,CEDRO Aislante Decorativo Simil Madera (x20m),422,606009562921	
Sin Linea,Membranas para Techos,5) CEDRO,01554BRC,Esp-6mm-C/Film marron-Const-20mx1m,0	
Sin Linea,Membranas para Techos,5) CEDRO,01554BRZ,CEDRO Aislante Decorativo Simil Madera NO CONFORME,0	
Sin Linea,Membranas para Techos,2) DOBLE ALU 5,01554BZ,DOBLE ALU 5 NO CONFORME,	
Sin Linea,Espuma con Film, ,01554C,Membrana 5mm Gris Aluminio,4,15545682035277	
Sin Linea,Espuma con Film, ,01554CC,Membrana 5mm Gris Aluminio Coteado,4,26289353581309	
Sin Linea,Espuma con Film, ,01554CD,Membrana 5mm Gris Aluminio P/ Doble Alu 5,4,49	
Sin Linea,Espuma con Film, ,01554CS,Membrana 5mm Gris Aluminio C/Surlyn,4,12136369870691	
Sin Linea,Espuma con Film, ,01554CZ,Membrana 5mm Gris Aluminio NO CONFORME,0	
Sin Linea,Espuma con Film,2) DOBLE ALU 5,01554D,Membrana 5mm Blanco Aluminio,7,714431218992	
Sin Linea,Espuma con Film, ,01554DZ,Membrana 5mm Blanco Aluminio NO CONFORME ,0	
Sin Linea,Membranas para Techos, ,01554E,MEMBRANA-ISA5RT-ALUM + ALUMINIZ- NCM: 3921.90.22,85,47	
Sin Linea,Membranas para Techos,1) TBA5,01555A,Membrana TBA5 Rapi-Tac (x20m),189,222779532466	
Sin Linea,Membranas para Techos,1) TBA5,01555AA,Esp-5mm-Bco-Aluminizado-Const-20mx1m,1,19	
Sin Linea,Membranas para Techos, ,01555AF,Membrana TBA5 x 20m (Fuera de norma),1,0747807095336	
Sin Linea,Membranas para Techos,6) KANETE de 5 mm.,01555AK,KANETE 5mm Aislante Reflectivo con Bastones de Ventilación x 15m,113,671213005359	
Sin Linea,Membranas para Techos,6) KANETE de 5 mm.,01555AKC,Esp-k-5mm-Aluminizado-Const-15mx1m,0	
Sin Linea,Membranas para Techos, ,01555AKF,Membrana KANETE x 15m (Fuera de norma),	
Sin Linea,Membranas para Techos, ,01555AKZ,KANETE NO CONFORME,0	
Sin Linea,Membranas para Techos,1) TBA5,01555AZ,Membrana TBA5 NO CONFORME,0	
Sin Linea,Membranas para Techos,1) TBA5,01555B,MEMBRANA TBA5 EXHIBICION Y VENTA,	
Sin Linea,Membranas para Techos,1) TBA5 PROMOCION,01555C,Membrana TBA5 PROMOCION,0	
Sin Linea,Membranas para Techos,1) TBA5,01555D,Membrana FP5 5mm Aluminizado (x20m),	
Sin Linea,Membranas para Techos,RUFITECH,01555EC,Rufi 5 Aluminio   ,165,12036599029	
Sin Linea,Membranas para Techos,RUFITECH,01555ECC,Esp-5mm-Bco-Aluminio-Const-20mx1m,1,19	
Sin Linea,Membranas para Techos,RUFITECH,01555ECZ,Rufi 5 A NO CONFORME,0	
Sin Linea,Membranas para Techos,Fapex 5mm Aluminiz.,01555F,Membrana-5mm-Aluminizada,70,0723636293162	
Sin Linea,Membranas para Techos,3) MULTICAPA,01555M,Membrana TBA MULTICAPA (Aluminio Puro + Rapi-Tac) (x20m),470,411614955828	
Sin Linea,Membranas para Techos,3) MULTICAPA PROMOCION,01555MA,Membrana TBA MULTICAPA PROMOCION,0	
Sin Linea,Membranas para Techos,3) MULTICAPA,01555MC,Esp-Multicapa-Const--20mx1m,0	
Sin Linea,Membranas para Techos, ,01555MF,Membrana TBA MULTICAPA x 20m (Fuera de norma),30,8833053177072	
Sin Linea,Membranas para Techos,3) MULTICAPA,01555MZ,Membrana TBA MULTICAPA NO CONFORME,0	
Sin Linea,Membranas para Techos,1) TBA10,01556A,Membrana TBA10,	
Sin Linea,Membranas para Techos,1) TBA10,01557A,Membrana TBA10 Rapi-Tac (x20m),261,690441329232	
Sin Linea,Membranas para Techos, ,01557AF,Membrana TBA10 x 20m (Fuera de norma),51,5545567341998	
Sin Linea,Membranas para Techos,10) KANETE 10 mm.,01557AK,KANETE 10mm Aislante Reflectivo con Bastones de Ventilación x 15m,157,689505073651	
Sin Linea,Membranas para Techos,10) KANETE 10 mm.,01557AKC,Espuma-10 mm-KANETE-Bco-Aluminizado-Const-15mx1m,123,887603612211	
Sin Linea,Membranas para Techos,10) KANETE 10 mm. PROMOCION,01557AKP,KANETE 10mm Aislante Reflectivo PROMOCION,116,516646908691	
Sin Linea,Membranas para Techos,10) KANETE 10 mm.,01557AKZ,KANETE 10 mm. NO CONFORME,0	
Sin Linea,Membranas para Techos,1) TBA10,01557AZ,Membrana TBA10 NO CONFORME,0	
Sin Linea,Membranas para Techos,1) TBA10,01557B,Membrana-ISA10RT-Alum+Aluminiza (x20m),	
Sin Linea,Membranas para Techos,1) TBA10 PROMOCION,01557C,Membrana TBA10 PROMOCION,0	
Sin Linea,Membranas para Techos,1) TBA10,01557IA,Membrana Imperspuma 10mm Aluminizada,207,909841215101	
Sin Linea,Membranas para Techos,1) TBA10,01558A,Membrana TBDA10,	
Sin Linea,Membranas para Techos,4.1) ALU-FUSION,01558AL,Membrana ALU-FUSION 10mm (x20m),262,252063356611	
Sin Linea,Membranas para Techos,4.1) ALU-FUSION,01558ALC,Esp-10mm-Blanca-Con Aluminio-Const--20mx1m,0	
Sin Linea,Membranas para Techos,4.1) ALU-FUSION,01558ALP,Membrana ALU-FUSION 10mm (x20m) PROMOCION,0	
Sin Linea,Membranas para Techos,4.1) ALU-FUSION,01558ALZ,Membrana ALU-FUSION 10mm NO CONFORME,0	
Sin Linea,Membranas para Techos,2) DOBLE ALU 10,01558B,-NO USAR-Membrana Doble Alu 10mm (x20m),	
Sin Linea,Membranas para Techos,2) DOBLE ALU 10,01558BA,Membrana Doble Alu 10mm PROMOCION,0	
Sin Linea,Membranas para Techos,2) DOBLE ALU 10,01558BC,Mem.Doble Alu 10mm C/Doble Solape (x20m),440,318706177768	
Sin Linea,Membranas para Techos, ,01558BCF,Membrana Doble Alu 10mm x 20m (Fuera de norma),65,1862823279646	
Sin Linea,Membranas para Techos, ,01558BCZ,DOBLE ALU 10 C/SOLAPE NO CONFORME,0	
Sin Linea,Membranas para Techos,2) DOBLE ALU 10,01558BD,Membrana Doble Alu 10 C/Solape-Ancho 0.50m-Accesorio para Montaje,6,38	
Sin Linea,Membranas para Techos,2) DOBLE ALU 10,01558BF,Membrana Doble Alu Cara Superior Blanca 10mm  (xm²),287,614806491621	
Sin Linea,Membranas para Techos,2) DOBLE ALU 10,01558BI,Memb. Industria 10mm D/Aluminio (x20m)Insulex,551,41767202413	
Sin Linea,Membranas para Techos,2) DOBLE ALU 10,01558BZ,DOBLE ALU 10 NO CONFORME,	
Sin Linea,Espuma con Film,2) DOBLE ALU 10,01558C,Membrana 10mm Gris Aluminio (xm²),12,9445824404993	
Sin Linea,Espuma con Film,2) DOBLE ALU 10,01558CC,Membrana 10mm Gris Aluminio P/cortes,4,58464766213103	
Sin Linea,Espuma con Film, ,01558CZ,Membrana 10mm Gris Aluminio NO CONFORME,0	
Sin Linea,Espuma con Film,2) DOBLE ALU 10,01558D,Membrana 10mm Blanco Aluminio (xm²),13,0721856763726	
Sin Linea,Espuma con Film, ,01558DZ,Blanco [Ancho 1 m]  [Esp. 10 mm]  Aluminio NO CONFORME ,0	
Sin Linea,Membranas para Techos,RUFITECH,01558EC,Rufi 10 Doble Aluminio,405,337190640027	
Sin Linea,Membranas para Techos,RUFITECH,01558ECC,Esp-10mm-Blanca-Doble Aluminio-Const-20mx1m,0	
Sin Linea,Membranas para Techos,RUFITECH,01558ECZ,Rufi 10 AA    NO CONFORME,0	
Sin Linea,Membranas para Techos,RUFITECH,01558ES,Rufi 10 Aluminio,405,337190640027	
Sin Linea,Membranas para Techos,RUFITECH,01558ESC,Esp-10mm-Blanca-Aluminio-Const-20mx1m,405,337190640027	
Sin Linea,Membranas para Techos,RUFITECH,01558ESZ,Rufi 10 Aluminio    NO CONFORME,0	
Sin Linea,Membranas para Techos, ,01559A,Membrana TBDA10 Rapi-Tac,	
Sin Linea,Membranas para Techos,1) TBA10,01559AA,Esp-10mm-Bco-Aluminizado-Const-20mx1m,0	
Sin Linea,Membranas para Techos,1) TBA10 PROMOCION,01559B,MEMBRANA TBDA10 PROMOCION,	
Sin Linea,Membranas para Techos,8) TB2,01560A,Espuma-2mm-Bco-C/Film Bajo Teja,0,28	
Sin Linea,Membranas para Techos, ,01560AZ,Espuma-2mm-Bco-C/Film Bajo Teja NO CONFORME ,	
Sin Linea,Membranas para Techos,9) TB5,01561A,Espuma-5mm-Bco-C/Film Bajo Teja,0,37	
Sin Linea,Membranas para Techos, ,01561AZ,Espuma-5mm-Bco-C/Film Bajo Teja NO CONFORME ,	
Sin Linea,Membranas para Techos,1) TBA5,01562A,Espuma-5mm-Blanco-Aluminizado,2,22249134315896	
Sin Linea,Membranas para Techos, ,01562AX,Prod. Prueba,	
Sin Linea,Membranas para Techos, ,01562AY,Prod. Prueba,	
Sin Linea,Membranas para Techos, ,01562AZ,Espuma-5mm-Blanco-Aluminizado NO CONFORME ,0	
Sin Linea,Membranas para Techos,1) TBA5,01563A,Espuma-5mm-Bco-R-Tac-Aluminizado,1,91	
Sin Linea,Membranas para Techos, ,01563AZ,Espuma-5mm-Bco-R-Tac-Aluminizado NO CONFORME ,	
Sin Linea,Membranas para Techos, ,01563B,Membrana 5mm Color R-Tac Aluminizado,0,73	
Sin Linea,Membranas para Techos, ,01563BZ,Membrana 5mm Color R-Tac Aluminizado NO CONFORME ,	
Sin Linea,Membranas para Techos,2) DOBLE ALU 5,01563C,Espuma 5mm Doble Aluminizado,0,6	
Sin Linea,Membranas para Techos, ,01563CZ,Espuma 5mm Doble Aluminizado NO CONFORME ,	
Sin Linea,Membranas para Techos,2) DOBLE ALU 5,01563D,Membrana Doble Alu 5mm C/Rebaje de Alumino (xm²),15,4796318730771	
Sin Linea,Membranas para Techos,2) DOBLE ALU 5,01563DA,Membrana Doble Alu 5mm (xm²) PROMOCION,	
Sin Linea,Membranas para Techos,2) DOBLE ALU 5,01563DC,Esp-5mm-Gris-Doble Aluminio-Const-20mx1m,5,96	
Sin Linea,Membranas para Techos, ,01563DZ,Membrana Doble Alu 5mm  NO CONFORME ,0	
Sin Linea,Membranas para Techos,TB10,01564A,Espuma-10mm-Bco-C/Film Bajo Teja,5,5	
Sin Linea,Membranas para Techos, ,01564AZ,Espuma-10mm-Bco-C/Film Bajo Teja NO CONFORME ,	
Sin Linea,Membranas para Techos,TB10,01564B,Membrana 10mm Colores C/Film Bajo Teja,	
Sin Linea,Membranas para Techos, ,01564BZ,Membrana 10mm Colores C/Film Bajo Teja NO CONFORME ,	
Sin Linea,Membranas para Techos,1) TBA10,01565A,Espuma-10mm-Blanco-Aluminizado,5,17644731636514	
Sin Linea,Membranas para Techos, ,01565AX,Prod. Prueba,	
Sin Linea,Membranas para Techos, ,01565AY,Prod. Prueba,	
Sin Linea,Membranas para Techos, ,01565AZ,Espuma-10mm-Blanco-Aluminizado NO CONFORME ,	
Sin Linea,Membranas para Techos,1) TBA10,01566A,Espuma-10mm-Bco-R-Tac-Aluminizado,	
Sin Linea,Membranas para Techos, ,01566AZ,Espuma-10mm-Bco-R-Tac-Aluminizado NO CONFORME ,	
Sin Linea,Membranas para Techos,1) TBA10,01566B,Espuma-10mm-Color-R-Tac-Aluminizado,	
Sin Linea,Membranas para Techos, ,01566BZ,Espuma-10mm-Color-R-Tac-Aluminizado NO CONFORME ,	
Sin Linea,Membranas para Techos, ,01567A,Ormi-Membrana-10mm-Blanco-Doble Aluminizado,12,0055532818057	
Sin Linea,Membranas para Techos, ,01567AZ,Espuma-10mm-Blanco-Doble Aluminizado NO CONFORME ,0	
Sin Linea,Membranas para Techos,2) DOBLE ALU 10,01568A,Esp.-10mm-Bco-R-Tac-Doble Aluminizado,	
Sin Linea,Membranas para Techos,2) DOBLE ALU 10,01568AB,Esp.-10mm-Gris-R-Tac-Doble Aluminizado,3,43	
Sin Linea,Membranas para Techos, ,01568ABZ,Esp.-10mm-Gris-R-Tac-Doble Aluminizado NO CONFORME ,	
Sin Linea,Membranas para Techos, ,01568AZ,Esp.-10mm-Bco-R-Tac-Doble Aluminizado NO CONFORME ,	
Sin Linea,Membranas para Techos,2) DOBLE ALU 10,01568B,Membrana Doble Alu 10mm C/Doble Solape (xm²),20,5954925222268	
Sin Linea,Membranas para Techos,2) DOBLE ALU 10,01568BA,Membran Doble Alu 10mm (xm²) PROMOCION,	
Sin Linea,Membranas para Techos,2) DOBLE ALU 10,01568BB,Membrana Doble Alu Blanco 10mm C/Doble Solape (xm²),14,6614913367945	
Sin Linea,Membranas para Techos, ,01568BBZ,Membrana Doble Alu Blanco 10mm C/Doble Solape NO CONFORME ,0	
Sin Linea,Membranas para Techos,2) DOBLE ALU 10,01568BC,Esp-10mm-Gris-Doble Aluminio-Const-20mx1m,6,44091633588527	
Sin Linea,Membranas para Techos, ,01568BCZ,Esp-10mm-Gris-Doble Aluminio-Const NO CONFORME,0	
Sin Linea,Membranas para Techos, ,01568BZ,Membrana Doble Alu 10mm C/Doble Solape NO CONFORME,0	
Sin Linea,Membranas para Techos,11) ALU STARK,01568CB,Mem.Alu Stark 10mm Coteado Blanco (x20m),390,945114559207	
Sin Linea,Membranas para Techos,11) ALU STARK,01568CBM,Mem.Alu Stark 10mm Coteado Blanco (m²),16,1708880824076	
Sin Linea,Membranas para Techos,11) ALU STARK,01568CBZ,Mem.Alu Stark 10mm Coteado Blanco NO CONFORME,0	
Sin Linea,Membranas para Techos, ,01569,NO USAR,	
Sin Linea,Membranas para Techos,TBA15,01569A,Membrana TBA15 (x20m),	
Sin Linea,Membranas para Techos,TBA15,01569AB,Membrana TBA15 PROMOCION,	
Sin Linea,Membranas para Techos,TBA15,01569AC,Esp-15mm-Bco-Aluminizado-Const,	
Sin Linea,Membranas para Techos, ,01569AF,TBA 15 Fuera de Norma,	
Sin Linea,Membranas para Techos,TBA15,01569AZ,TBA 15 NO CONFORME,	
Sin Linea,Membranas para Techos,2) DOBLE ALU 15,01569B,Membrana Doble Alu 15mm (x20m),25,4968453345445	
Sin Linea,Membranas para Techos,2) DOBLE ALU 15,01569BA,Membrana Doble Alu 15mm PROMOCION,0	
Sin Linea,Membranas para Techos,2) DOBLE ALU 15,01569BC,Mem.Doble Alu 15mm C/Doble Solape (x20m),428,47762711456	
Sin Linea,Membranas para Techos, ,01569BCF,Membrana Doble Alu 15mm x 20m (Fuera de norma),3,43629350840929	
Sin Linea,Membranas para Techos, ,01569BCZ,DOBLE ALU 15 NO CONFORME,	
Sin Linea,Membranas para Techos, ,01569BD,DOBLE ALU 15 Accesorio para Montaje,9,71	
Sin Linea,Membranas para Techos,2) DOBLE ALU 15,01569BF,Membrana Doble Alu Cara Superior Blanca 15mm  (xm²),289,195702247826	
Sin Linea,Membranas para Techos,2) DOBLE ALU 15,01569BZ,DOBLE ALU 15 NO CONFORME,0	
Sin Linea,Membranas para Techos, ,01569C,Membrana 8mm Gris Aluminio,	
Sin Linea,Membranas para Techos, ,01569CZ,Membrana 8mm Gris Aluminio NO CONFORME,	
Sin Linea,Membranas para Techos,TBA15,01570A,Membrana TBA15 (xm²),	
Sin Linea,Membranas para Techos, ,01570AZ,Membrana TBA15 (xm²) NO CONFORME,	
Sin Linea,Membranas para Techos,2) DOBLE ALU 15,01570B,Membrana Doble Alu 15mm C/Doble Solape (xm²),26,7162664304277	
Sin Linea,Membranas para Techos,2) DOBLE ALU 15,01570BA,Membrana Doble Alu 15mm (xm²) PROMOCION,	
Sin Linea,Membranas para Techos,2) DOBLE ALU 15,01570BB,Membrana Doble Alu Blanco 15mm C/Doble Solape (xm²),9,14604504039653	
Sin Linea,Membranas para Techos, ,01570BBZ,Membrana Doble Alu Blanco 15mm C/Doble Solape NO CONFORME ,	
Sin Linea,Membranas para Techos,AA,01570BC,Membrana Alu15 C/Film Blanco (xm²),	
Sin Linea,Membranas para Techos,2) DOBLE ALU 15,01570BD,Esp-15mm-Gris-Doble Aluminio-Const-20mx1m,7,00545106422348	
Sin Linea,Membranas para Techos,2) DOBLE ALU 15,01570BZ,DOBLE ALU 15 NO CONFORME,0	
Sin Linea,Membranas para Techos, ,01570C,Gris [Esp. 15 mm]  Aluminio ,5,22	
Sin Linea,Membranas para Techos,DOBLE ALU 30,01570D,Membrana Doble Alu 30mm (xm²),	
Sin Linea,Membranas para Techos,DOBLE ALU 20,01571A,Mem.Doble Alu 20mm C/Doble Solape (x20m),0	
Sin Linea,Membranas para Techos, ,01571AZ,DOBLE ALU 20 C/SOLAPE NO CONFORME,0	
Sin Linea,Membranas para Techos,DOBLE ALU 20,01571B,Membrana Doble Alu 20mm (xm²),35,6429355859318	
Sin Linea,Membranas para Techos,DOBLE ALU 25,01572A,Membrana Doble Alu 25mm (xm²),	
Sin Linea,Membranas para Techos, ,01599A,Manta ISOLANT,	
Sin Linea,Piso Flotante,BAJO PISO FLOTANTE,01600A,Piso Flotante-4mm-Bco-Ig,	
Sin Linea,Piso Flotante,BAJO PISO FLOTANTE,01601A,Piso Flotante-4mm-Bco,	
Sin Linea,Piso Flotante,BAJO PISO FLOTANTE,01602A,Bajo Piso Termo Acustico de 10mm (x20m),95,18	
Sin Linea,Piso Flotante,BAJO PISO FLOTANTE,01603A,Bajo Piso Flotante 2mm (25m²),65,5950789433246	
Sin Linea,SIN GRUPO, ,04603A,Devolucion Bajo Piso Flotante,	
Sin Linea,Piso Flotante,BAJO PISO FLOTANTE,01603AA,Bajo Piso Flotante 2mm (PROMOCION),0	
Sin Linea,Piso Flotante,BAJO PISO ACOUSTIC,01603AC,Bajo Piso Flotante ACOUSTIC,96,2386725368542	
Sin Linea,Piso Flotante,BAJO PISO ACOUSTIC,01603ACP,Bajo Piso Flotante ACOUSTIC PROMOCION,34,0767540487124	
Sin Linea,Piso Flotante,BAJO PISO FLOTANTE,01603AD,Bajo Piso Flotante 2mm-Decor-25mx1m,0	
Sin Linea,Piso Flotante, ,01603AZ,Bajo Piso Flotante 2mm NO CONFORME ,0	
Sin Linea,Piso Flotante,BAJO PISO CON FILM,01603B,Bajo Piso Flotante 2mm C/Film (25m²),95,9886740624243	
Sin Linea,Piso Flotante,BAJO PISO CON FILM,01603BA,Bajo Piso Flotante 2mm C/Film (PROMOCION),0	
Sin Linea,Piso Flotante,BAJO PISO FLOTANTE,01603BC,Bajo Piso Flotante 2mm C/Film Autoadhesivo (25m²),44,12	
Sin Linea,Piso Flotante,BAJO PISO CON FILM,01603BD,Bajo Piso Flotante 2mm C/Film-Decor- 25mx1m,0	
Sin Linea,Piso Flotante,BAJO PISO CON FILM,01603BE,Bajo Piso Flotante 2mm C/Film (m²),0	
Sin Linea,Piso Flotante, ,01603BF,Bajo Piso Flotante 2mm C/Film x 25m² (Fuera de norma),83,3909550558433	
Sin Linea,Piso Flotante,BAJO PISO SW,01603BG,Bajo Piso Flotante  SilentWalk  (25m²),62,8335780475487	
Sin Linea,Piso Flotante, ,01603BZ,Bajo Piso Flotante 2mm C/Film NO CONFORME,0	
Sin Linea,Block,BLOCK DE ESP. 10 mm,01650A,Block-10mm.-Blanco,10,7134098126686	
Sin Linea,SIN GRUPO, ,04650A,DEVOLUCION DE BLOCKS (10MM A 65MM),	
Sin Linea,Block,BLOCK DE ESP. 10 mm,01650AC,Block-10mm.-Blanco-25mx1m,13,7307665689038	
Sin Linea,Block,BLOCK DE ESP. 10 mm,01650ACD,Block-10mm.-Blanco-PREMIUM,11,5067051047657	
Sin Linea,Block,BLOCK DE ESP. 10 mm,01650AY,Block-10mm.-Blanco-Ig,	
Sin Linea,Block,BLOCK DE ESP. 10 mm,01650B,Block-10mm.-Amarillo,	
Sin Linea,SIN GRUPO, ,04650B,DEVOLUCION DE BLOCKS C/ FILM Y ALUM.,	
Sin Linea,Block,BLOCK DE ESP. 10 mm,01650BC,Block-10mm.-Amarillo-25mx1m,	
Sin Linea,Block,BLOCK DE ESP. 10 mm,01650C,Block-10mm.-Negro,23,8703964760894	
Sin Linea,Block,BLOCK DE ESP. 10 mm,01650CC,*NO USAR MAS - Usar el 650DC*Block-10mm.-Negro-25mx1m,7,60600285529163	
Sin Linea,Block,BLOCK DE ESP. 10 mm,01650D,Block-10mm.-Colores,14,1062844887105	
Sin Linea,Block,BLOCK DE ESP. 10 mm,01650DA,Block-10mm.-Gris,20,1450829912812	
Sin Linea,Block,BLOCK DE ESP. 10 mm,01650DC,Block-10mm.-Gris-25mx1m,14,6617120133317	
Sin Linea,Block,BLOCK DE ESP. 10 mm,01650DQ,Block-10mm.-Azul,10,241117684669	
Sin Linea,Block,BLOCK DE ESP. 10 mm,01650DR,Block-10mm.-Rojo,2,36	
Sin Linea,Block,BLOCK DE ESP. 10 mm,01650DS,Block-10mm.-Verde,2,67	
Sin Linea,Block,BLOCK DE ESP. 10 mm,01650DY,Block-10mm-Colores-Ig.,12,7486030907682	
Sin Linea,Block,BLOCK DE ESP. 10 mm,01650QC,Block-10mm.-Azul-25mx1m,10,6084675943827	
Sin Linea,Block,BLOCK DE ESP. 10 mm,01650RC,Block-10mm.-Rojo-25mx1m,3,53	
Sin Linea,Block,BLOCK DE ESP. 10 mm,01650SC,Block-10mm.-Verde-25mx1m,5,07	
Sin Linea,Block,BLOCK DE ESP. 13 mm,01650W,Block-13mm.-Blanco-PREMIUM,14,1085836896747	
Sin Linea,BLOCK ESPUMA POL. C/FILM,BLOCK DE ESP. 10 mm,01651A,Block-10mm.-Blanco-C/Film,	
Sin Linea,BLOCK ESPUMA POL. C/FILM,BLOCK DE ESP. 10 mm,01651C,Block-10mm.-Colores-C/Film,28,7810457425051	
Sin Linea,BLOCK ESPUMA POL. C/FILM,BLOCK DE ESP. 10 mm,01651D,Block-10mm.-Colores-C/Film Cli.,	
Sin Linea,BLOCK ESPUMA POL. C/FILM,BLOCK DE ESP. 10 mm,01651E,Block-10mm.-Blanco-Aluminizado,11,61	
Sin Linea,BLOCK ESPUMA POL. C/FILM,BLOCK DE ESP. 10 mm,01651F,Block-10mm.-Amarillo-Aluminizado,	
Sin Linea,BLOCK ESPUMA POL. C/FILM,BLOCK DE ESP. 10 mm,01651G,Block-10mm.-Colores-Aluminizado,43,8614959368932	
Sin Linea,BLOCK ESPUMA POL. C/FILM, ,01651GF,Block-10mm.-Colores-Aluminizado-Fuera de Norma,	
